0x11d3170,epoint,14,0,0,0x11d3770:0x11d4ad0:0x11d5b60:0x11d6330:0x11d6420:0x11d64c0:0x11d6290:0x11d6010:0x11d6060:0x11d43a0:0x11d4440:0x11d45d0:0x11d4210:0x11d3b80,na,na
0x11d3770,funccall,closedir,1,1,0,0x11d64c0,0x11d3170,na
0x11d3b80,funccall,opendirat,14,1,0,0x11d4ad0:0x11d5b60:0x11d6330:0x11d6420:0x11d64c0:0x11d6290:0x11d6010:0x11d6060:0x11d43a0:0x11d4440:0x11d45d0:0x11d4210:0x11d3d10:0x11d3e00,0x11d3170,na
0x11d3d10,funccall,fts_stat,12,1,0,0x11d4ad0:0x11d5b60:0x11d6330:0x11d6420:0x11d64c0:0x11d6290:0x11d6010:0x11d6060:0x11d43a0:0x11d4440:0x11d45d0:0x11d4210,0x11d3b80,na
0x11d3e00,funccall,leave_dir,1,1,0,0x11d3e50,0x11d3b80,na
0x11d3e50,funccall,fts_stat,1,1,0,0x11d3e50_1,0x11d3e00,na
0x11d3e50_1,funccall,enter_dir,12,1,0,0x11d4ad0:0x11d5b60:0x11d6330:0x11d6420:0x11d64c0:0x11d6290:0x11d6010:0x11d6060:0x11d43a0:0x11d4440:0x11d45d0:0x11d4210,0x11d3e50,na
0x11d4210,funccall,leaf_optimization,11,4,0,0x11d4ad0:0x11d5b60:0x11d6330:0x11d6420:0x11d64c0:0x11d6290:0x11d6010:0x11d6060:0x11d43a0:0x11d4440:0x11d45d0,0x11d3170:0x11d3d10:0x11d3b80:0x11d3e50_1,na
0x11d43a0,funccall,rpl_fcntl,2,5,0,0x11d4440:0x11d45d0,0x11d3170:0x11d4210:0x11d3d10:0x11d3b80:0x11d3e50_1,na
0x11d4440,funccall,fts_safe_changedir,9,6,0,0x11d4ad0:0x11d5b60:0x11d6330:0x11d6420:0x11d64c0:0x11d6290:0x11d6010:0x11d6060:0x11d45d0,0x11d43a0:0x11d3170:0x11d4210:0x11d3d10:0x11d3b80:0x11d3e50_1,na
0x11d45d0,funccall,closedir,9,7,0,0x11d4ad0:0x11d5b60:0x11d6330:0x11d6420:0x11d64c0:0x11d6290:0x11d6010:0x11d6060:0x11d46c0,0x11d4440:0x11d43a0:0x11d3170:0x11d4210:0x11d3d10:0x11d3b80:0x11d3e50_1,na
0x11d46c0,funccall,close,8,1,0,0x11d4ad0:0x11d5b60:0x11d6330:0x11d6420:0x11d64c0:0x11d6290:0x11d6010:0x11d6060,0x11d45d0,na
0x11d4ad0,funccall,readdir,8,12,1,0x11d5b60:0x11d6330:0x11d6420:0x11d64c0:0x11d6290:0x11d6010:0x11d6060:0x11d4e90,0x11d3170:0x11d5980:0x11d5750:0x11d57a0:0x11d4ad0:0x11d46c0:0x11d45d0:0x11d4440:0x11d4210:0x11d3d10:0x11d3b80:0x11d3e50_1,0x11d4ad0
0x11d4e90,funccall,fts_alloc,5,1,0,0x11d4f80:0x11d52f0:0x11d5750:0x11d57a0:0x11d5020,0x11d4ad0,na
0x11d4f80,funccall,fts_palloc,4,1,0,0x11d52f0:0x11d5750:0x11d57a0:0x11d5020,0x11d4e90,na
0x11d5020,funccall,rpl_free,1,2,0,0x11d5020_1,0x11d4f80:0x11d4e90,na
0x11d5020_1,funccall,fts_lfree,1,1,0,0x11d5070,0x11d5020,na
0x11d5070,funccall,closedir,1,1,0,0x11d64c0,0x11d5020_1,na
0x11d52f0,funccall,rpl_free,1,2,0,0x11d52f0_1,0x11d4e90:0x11d4f80,na
0x11d52f0_1,funccall,fts_lfree,1,1,0,0x11d5340,0x11d52f0,na
0x11d5340,funccall,closedir,1,1,0,0x11d64c0,0x11d52f0_1,na
0x11d5750,funccall,fts_set_stat_required,8,2,1,0x11d5b60:0x11d6330:0x11d6420:0x11d64c0:0x11d6290:0x11d6010:0x11d6060:0x11d5980,0x11d4e90:0x11d4f80,0x11d4ad0
0x11d57a0,funccall,fts_stat,8,2,1,0x11d5b60:0x11d6330:0x11d6420:0x11d64c0:0x11d6290:0x11d6010:0x11d6060:0x11d5980,0x11d4e90:0x11d4f80,0x11d4ad0
0x11d5980,funccall,dirent_inode_sort_may_be_useful,7,2,1,0x11d5b60:0x11d6330:0x11d6420:0x11d64c0:0x11d6290:0x11d6010:0x11d6060,0x11d5750:0x11d57a0,0x11d4ad0
0x11d5b60,funccall,closedir,6,12,0,0x11d6330:0x11d6420:0x11d64c0:0x11d6290:0x11d6010:0x11d6060,0x11d3170:0x11d4ad0:0x11d5980:0x11d5750:0x11d57a0:0x11d46c0:0x11d45d0:0x11d4440:0x11d4210:0x11d3d10:0x11d3b80:0x11d3e50_1,na
0x11d6010,funccall,restore_initial_cwd,5,13,0,0x11d6330:0x11d6420:0x11d64c0:0x11d6290:0x11d60b0,0x11d3170:0x11d4ad0:0x11d5b60:0x11d5980:0x11d5750:0x11d57a0:0x11d46c0:0x11d45d0:0x11d4440:0x11d4210:0x11d3d10:0x11d3b80:0x11d3e50_1,na
0x11d6060,funccall,fts_safe_changedir,5,13,0,0x11d6330:0x11d6420:0x11d64c0:0x11d6290:0x11d60b0,0x11d3170:0x11d4ad0:0x11d5b60:0x11d5980:0x11d5750:0x11d57a0:0x11d46c0:0x11d45d0:0x11d4440:0x11d4210:0x11d3d10:0x11d3b80:0x11d3e50_1,na
0x11d60b0,funccall,fts_lfree,1,2,0,0x11d64c0,0x11d6010:0x11d6060,na
0x11d6290,funccall,fts_lfree,1,15,0,0x11d64c0,0x11d6010:0x11d6060:0x11d3170:0x11d4ad0:0x11d5b60:0x11d5980:0x11d5750:0x11d57a0:0x11d46c0:0x11d45d0:0x11d4440:0x11d4210:0x11d3d10:0x11d3b80:0x11d3e50_1,na
0x11d6330,funccall,fts_sort,2,15,0,0x11d6420:0x11d64c0,0x11d6010:0x11d6060:0x11d3170:0x11d4ad0:0x11d5b60:0x11d5980:0x11d5750:0x11d57a0:0x11d46c0:0x11d45d0:0x11d4440:0x11d4210:0x11d3d10:0x11d3b80:0x11d3e50_1,na
0x11d6420,funccall,fts_sort,1,16,0,0x11d64c0,0x11d6330:0x11d6010:0x11d6060:0x11d3170:0x11d4ad0:0x11d5b60:0x11d5980:0x11d5750:0x11d57a0:0x11d46c0:0x11d45d0:0x11d4440:0x11d4210:0x11d3d10:0x11d3b80:0x11d3e50_1,na
0x11d64c0,ret,0,22,0,na,0x11d60b0:0x11d6290:0x11d3770:0x11d6420:0x11d6330:0x11d6010:0x11d6060:0x11d3170:0x11d4ad0:0x11d5b60:0x11d5340:0x11d5980:0x11d5750:0x11d57a0:0x11d5070:0x11d46c0:0x11d45d0:0x11d4440:0x11d4210:0x11d3b80:0x11d3d10:0x11d3e50_1,na
