0x1d6f480,epoint,12,0,0,0x1d76950:0x1d769a0:0x1d76770:0x1d76900:0x1d73020:0x1d764f0:0x1d72cb0:0x1d72da0:0x1d72990:0x1d72a30:0x1d714a0:0x1d705a0,na,na
0x1d705a0,funccall,__fwritex,6,9,6,0x1d76950:0x1d769a0:0x1d76770:0x1d76900:0x1d72990:0x1d72a30,0x1d6f480:0x1d705a0:0x1d72f80:0x1d76630:0x1d732f0:0x1d73c50:0x1d763b0:0x1d73340:0x1d714a0,0x1d73020:0x1d764f0:0x1d72cb0:0x1d72da0:0x1d714a0:0x1d705a0
0x1d714a0,funccall,pop_arg,7,9,5,0x1d76950:0x1d769a0:0x1d76770:0x1d76900:0x1d72990:0x1d72a30:0x1d705a0,0x1d705a0:0x1d6f480:0x1d72f80:0x1d76630:0x1d732f0:0x1d73c50:0x1d763b0:0x1d73340:0x1d714a0,0x1d73020:0x1d764f0:0x1d72cb0:0x1d72da0:0x1d714a0
0x1d72990,funccall,__errno_location,1,9,0,0x1d72990_1,0x1d714a0:0x1d705a0:0x1d6f480:0x1d72f80:0x1d76630:0x1d732f0:0x1d73c50:0x1d763b0:0x1d73340,na
0x1d72990_1,funccall,strerror,1,1,0,0x1d72a30,0x1d72990,na
0x1d72a30,funccall,strnlen,1,10,1,0x1d76950,0x1d72990_1:0x1d714a0:0x1d705a0:0x1d6f480:0x1d72f80:0x1d76630:0x1d732f0:0x1d73c50:0x1d763b0:0x1d73340,0x1d764f0
0x1d72cb0,funccall,wctomb,3,10,1,0x1d76950:0x1d769a0:0x1d72da0,0x1d714a0:0x1d705a0:0x1d6f480:0x1d72f80:0x1d76630:0x1d732f0:0x1d73c50:0x1d763b0:0x1d73340:0x1d72cb0,0x1d72cb0
0x1d72da0,funccall,pad,2,10,0,0x1d72f80:0x1d72e40,0x1d714a0:0x1d705a0:0x1d6f480:0x1d72f80:0x1d76630:0x1d732f0:0x1d73c50:0x1d763b0:0x1d73340:0x1d72cb0,na
0x1d72e40,funccall,wctomb,2,3,1,0x1d72f80:0x1d72ee0,0x1d72da0:0x1d72ee0:0x1d72e40,0x1d72e40
0x1d72ee0,funccall,__fwritex,1,1,1,0x1d72f80,0x1d72e40,0x1d72e40
0x1d72f80,funccall,pad,8,3,4,0x1d76950:0x1d769a0:0x1d76770:0x1d76900:0x1d72990:0x1d72a30:0x1d714a0:0x1d705a0,0x1d72da0:0x1d72e40:0x1d72ee0,0x1d73020:0x1d764f0:0x1d72cb0:0x1d72da0
