0x2e0d870,epoint,10,0,0,0x2e0e180:0x2e0df00:0x2e10890:0x2e10930:0x2e10980:0x2e10340:0x2e10390:0x2e107f0:0x2e107a0:0x2e0ecc0,na,na
0x2e0df00,funccall,closedir,1,1,0,0x2e10980,0x2e0d870,na
0x2e0e180,funccall,opendirat,14,1,0,0x2e10890:0x2e10930:0x2e10980:0x2e10340:0x2e10390:0x2e107f0:0x2e107a0:0x2e0ecc0:0x2e0e2c0:0x2e0e360:0x2e0e540:0x2e0e900:0x2e0e9a0:0x2e0ea90,0x2e0d870,na
0x2e0e2c0,funccall,fts_stat,12,1,0,0x2e10890:0x2e10930:0x2e10980:0x2e10340:0x2e10390:0x2e107f0:0x2e107a0:0x2e0ecc0:0x2e0e540:0x2e0e900:0x2e0e9a0:0x2e0ea90,0x2e0e180,na
0x2e0e360,funccall,leave_dir,1,1,0,0x2e0e360_1,0x2e0e180,na
0x2e0e360_1,funccall,fts_stat,1,1,0,0x2e0e360_2,0x2e0e360,na
0x2e0e360_2,funccall,enter_dir,12,1,0,0x2e10890:0x2e10930:0x2e10980:0x2e10340:0x2e10390:0x2e107f0:0x2e107a0:0x2e0ecc0:0x2e0e540:0x2e0e900:0x2e0e9a0:0x2e0ea90,0x2e0e360_1,na
0x2e0e540,funccall,filesystem_type,11,3,0,0x2e10890:0x2e10930:0x2e10980:0x2e10340:0x2e10390:0x2e107f0:0x2e107a0:0x2e0ecc0:0x2e0e900:0x2e0e9a0:0x2e0ea90,0x2e0e2c0:0x2e0e360_2:0x2e0e180,na
0x2e0e900,funccall,rpl_fcntl,2,4,0,0x2e0e9a0:0x2e0ea90,0x2e0e2c0:0x2e0e360_2:0x2e0e540:0x2e0e180,na
0x2e0e9a0,funccall,fts_safe_changedir,9,5,0,0x2e10890:0x2e10930:0x2e10980:0x2e10340:0x2e10390:0x2e107f0:0x2e107a0:0x2e0ecc0:0x2e0ea90,0x2e0e900:0x2e0e2c0:0x2e0e360_2:0x2e0e540:0x2e0e180,na
0x2e0ea90,funccall,closedir,9,6,0,0x2e10890:0x2e10930:0x2e10980:0x2e10340:0x2e10390:0x2e107f0:0x2e107a0:0x2e0ecc0:0x2e0eae0,0x2e0e9a0:0x2e0e900:0x2e0e2c0:0x2e0e360_2:0x2e0e540:0x2e0e180,na
0x2e0eae0,funccall,close,8,1,0,0x2e10890:0x2e10930:0x2e10980:0x2e10340:0x2e10390:0x2e107f0:0x2e107a0:0x2e0ecc0,0x2e0ea90,na
