0x2be8000,epoint,1,0,0,0x2be8000_0,na,na
0x2be8000_0,funccall,setlocale,1,1,0,0x2be8000_1,0x2be8000,na
0x2be8000_1,funccall,bindtextdomain,1,1,0,0x2be8000_2,0x2be8000_0,na
0x2be8000_2,funccall,textdomain,1,1,0,0x2be8000_3,0x2be8000_1,na
0x2be8000_3,funccall,init_localeinfo,1,1,0,0x2be8000_4,0x2be8000_2,na
0x2be8000_4,funccall,atexit,1,1,0,0x2be8000_5,0x2be8000_3,na
0x2be8000_5,funccall,c_stack_action,1,1,0,0x2be8000_6,0x2be8000_4,na
0x2be8000_6,funccall,hash_initialize,2,1,0,0x2be9630:0x2be9680,0x2be8000_5,na
0x2be9630,funccall,xalloc_die,0,1,0,na,0x2be8000_6,na
0x2be9680,funccall,getopt_long,31,20,1,0x2be9720:0x2bec8d0:0x2bec970:0x2beca10:0x2becba0:0x2becbf0:0x2becc40:0x2bead00:0x2beada0:0x2beae40:0x2beb020:0x2beb070:0x2beb0c0:0x2beb160:0x2beb110:0x2beb1b0:0x2beb430:0x2beb4d0:0x2beb520:0x2beb5c0:0x2beb700:0x2beb6b0:0x2beba70:0x2beb2a0:0x2bec060:0x2bec740:0x2bec790:0x2bec5b0:0x2bec600:0x2bec650:0x2bec6a0,0x2be8000_6:0x2bead00:0x2beada0:0x2beae40:0x2beb070:0x2beb0c0:0x2beb110:0x2beb160:0x2beb1b0:0x2beb2a0:0x2beb430:0x2beb520:0x2beb8e0:0x2beba70:0x2bf0ac0:0x2bf0b60:0x2bf0c50:0x2be9680:0x2be9810:0x2be9720,0x2be9680
0x2be9720,funccall,getopt_long,31,2,2,0x2bec8d0:0x2bec970:0x2beca10:0x2becba0:0x2becbf0:0x2becc40:0x2bead00:0x2beada0:0x2beae40:0x2beb020:0x2beb070:0x2beb0c0:0x2beb160:0x2beb110:0x2beb1b0:0x2beb430:0x2beb4d0:0x2beb520:0x2beb5c0:0x2beb700:0x2beb6b0:0x2beba70:0x2beb2a0:0x2bec060:0x2bec740:0x2bec790:0x2bec5b0:0x2bec600:0x2bec650:0x2bec6a0:0x2be9810,0x2be9680:0x2be9720,0x2be9680:0x2be9720
0x2be9810,funccall,xstrtoimax,31,1,1,0x2bec8d0:0x2bec970:0x2beca10:0x2becba0:0x2becbf0:0x2becc40:0x2bead00:0x2beada0:0x2beae40:0x2beb020:0x2beb070:0x2beb0c0:0x2beb160:0x2beb110:0x2beb1b0:0x2beb430:0x2beb4d0:0x2beb520:0x2beb5c0:0x2beb700:0x2beb6b0:0x2beba70:0x2beb2a0:0x2bec060:0x2bec740:0x2bec790:0x2bec5b0:0x2bec600:0x2bec650:0x2bec6a0:0x2be9860,0x2be9720,0x2be9680
0x2be9860,funccall,dcgettext,0,1,0,na,0x2be9810,na
0x2bead00,funccall,xstrtoimax,1,3,1,0x2bead50,0x2be9680:0x2be9810:0x2be9720,0x2be9680
0x2bead50,funccall,dcgettext,0,1,0,na,0x2bead00,na
0x2beada0,funccall,xstrtoimax,1,3,1,0x2beadf0,0x2be9680:0x2be9810:0x2be9720,0x2be9680
0x2beadf0,funccall,dcgettext,0,1,0,na,0x2beada0,na
0x2beae40,funccall,xstrtoimax,1,3,1,0x2beae90,0x2be9680:0x2be9810:0x2be9720,0x2be9680
0x2beae90,funccall,dcgettext,0,1,0,na,0x2beae40,na
0x2beb020,funccall,dcgettext,0,3,0,na,0x2be9680:0x2be9810:0x2be9720,na
0x2beb070,funccall,setmatcher,0,3,1,na,0x2be9680:0x2be9810:0x2be9720,0x2be9680
0x2beb0c0,funccall,setmatcher,0,3,1,na,0x2be9680:0x2be9810:0x2be9720,0x2be9680
0x2beb110,funccall,setmatcher,0,3,1,na,0x2be9680:0x2be9810:0x2be9720,0x2be9680
0x2beb160,funccall,setmatcher,0,3,1,na,0x2be9680:0x2be9810:0x2be9720,0x2be9680
0x2beb1b0,funccall,setmatcher,0,3,1,na,0x2be9680:0x2be9810:0x2be9720,0x2be9680
0x2beb2a0,funccall,dcgettext,0,3,1,na,0x2be9680:0x2be9810:0x2be9720,0x2be9680
0x2beb430,funccall,__xargmatch_internal,0,3,1,na,0x2be9680:0x2be9810:0x2be9720,0x2be9680
