0xa9a0b0,epoint,14,0,0,0xa9a6b0:0xa9ba10:0xa9caa0:0xa9d270:0xa9d360:0xa9d400:0xa9d1d0:0xa9cf50:0xa9cfa0:0xa9b2e0:0xa9b380:0xa9b510:0xa9b150:0xa9aac0,na,na
0xa9a6b0,funccall,closedir,1,1,0,0xa9d400,0xa9a0b0,na
0xa9aac0,funccall,opendirat,14,1,0,0xa9ba10:0xa9caa0:0xa9d270:0xa9d360:0xa9d400:0xa9d1d0:0xa9cf50:0xa9cfa0:0xa9b2e0:0xa9b380:0xa9b510:0xa9b150:0xa9ac50:0xa9ad40,0xa9a0b0,na
0xa9ac50,funccall,fts_stat,12,1,0,0xa9ba10:0xa9caa0:0xa9d270:0xa9d360:0xa9d400:0xa9d1d0:0xa9cf50:0xa9cfa0:0xa9b2e0:0xa9b380:0xa9b510:0xa9b150,0xa9aac0,na
0xa9ad40,funccall,leave_dir,1,1,0,0xa9ad90,0xa9aac0,na
0xa9ad90,funccall,fts_stat,1,1,0,0xa9ad90_1,0xa9ad40,na
0xa9ad90_1,funccall,enter_dir,12,1,0,0xa9ba10:0xa9caa0:0xa9d270:0xa9d360:0xa9d400:0xa9d1d0:0xa9cf50:0xa9cfa0:0xa9b2e0:0xa9b380:0xa9b510:0xa9b150,0xa9ad90,na
0xa9b150,funccall,leaf_optimization,11,4,0,0xa9ba10:0xa9caa0:0xa9d270:0xa9d360:0xa9d400:0xa9d1d0:0xa9cf50:0xa9cfa0:0xa9b2e0:0xa9b380:0xa9b510,0xa9a0b0:0xa9ac50:0xa9aac0:0xa9ad90_1,na
0xa9b2e0,funccall,rpl_fcntl,2,5,0,0xa9b380:0xa9b510,0xa9a0b0:0xa9b150:0xa9ac50:0xa9aac0:0xa9ad90_1,na
0xa9b380,funccall,fts_safe_changedir,9,6,0,0xa9ba10:0xa9caa0:0xa9d270:0xa9d360:0xa9d400:0xa9d1d0:0xa9cf50:0xa9cfa0:0xa9b510,0xa9b2e0:0xa9a0b0:0xa9b150:0xa9ac50:0xa9aac0:0xa9ad90_1,na
0xa9b510,funccall,closedir,9,7,0,0xa9ba10:0xa9caa0:0xa9d270:0xa9d360:0xa9d400:0xa9d1d0:0xa9cf50:0xa9cfa0:0xa9b600,0xa9b380:0xa9b2e0:0xa9a0b0:0xa9b150:0xa9ac50:0xa9aac0:0xa9ad90_1,na
0xa9b600,funccall,close,8,1,0,0xa9ba10:0xa9caa0:0xa9d270:0xa9d360:0xa9d400:0xa9d1d0:0xa9cf50:0xa9cfa0,0xa9b510,na
0xa9ba10,funccall,readdir,8,12,1,0xa9caa0:0xa9d270:0xa9d360:0xa9d400:0xa9d1d0:0xa9cf50:0xa9cfa0:0xa9bdd0,0xa9a0b0:0xa9c8c0:0xa9c690:0xa9c6e0:0xa9ba10:0xa9b600:0xa9b510:0xa9b380:0xa9b150:0xa9ac50:0xa9aac0:0xa9ad90_1,0xa9ba10
0xa9bdd0,funccall,fts_alloc,5,1,0,0xa9bec0:0xa9c230:0xa9c690:0xa9c6e0:0xa9bf60,0xa9ba10,na
0xa9bec0,funccall,fts_palloc,4,1,0,0xa9c230:0xa9c690:0xa9c6e0:0xa9bf60,0xa9bdd0,na
0xa9bf60,funccall,rpl_free,1,2,0,0xa9bf60_1,0xa9bec0:0xa9bdd0,na
0xa9bf60_1,funccall,fts_lfree,1,1,0,0xa9bfb0,0xa9bf60,na
0xa9bfb0,funccall,closedir,1,1,0,0xa9d400,0xa9bf60_1,na
