0x25b1620,epoint,8,0,0,0x25b4880:0x25b4920:0x25c1350:0x25c13a0:0x25b4fb0:0x25b5000:0x25b5050:0x25b4bf0,na,na
0x25b4880,funccall,xcalloc,1,1,0,0x25b4880_1,0x25b1620,na
0x25b4880_1,funccall,_obstack_begin,7,1,0,0x25b4920:0x25c1350:0x25c13a0:0x25b4fb0:0x25b5000:0x25b5050:0x25b4bf0,0x25b4880,na
0x25b4920,funccall,read_text,6,2,0,0x25c1350:0x25c13a0:0x25b4fb0:0x25b5000:0x25b5050:0x25b4bf0,0x25b1620:0x25b4880_1,na
0x25b4bf0,funccall,__uflow,3,38,3,0x25c1350:0x25c13a0:0x25b4fb0,0x25b4920:0x25b1620:0x25b4880_1:0x25b8890:0x25b82a0:0x25b5050:0x25b5140:0x25b5960:0x25b86b0:0x25b7f80:0x25ba4b0:0x25ba7d0:0x25bbea0:0x25bc6c0:0x25bc800_1:0x25bc850:0x25bc8a0:0x25bfb90_1:0x25c1120_1:0x25ba690:0x25ba5a0:0x25bc120:0x25bb680:0x25bb3b0:0x25bb900:0x25baff0:0x25bac30:0x25ba820:0x25ba870:0x25b9740:0x25b8930:0x25b9420:0x25b9330:0x25b8d90:0x25b6130:0x25b5b90:0x25b5370:0x25b4bf0,0x25b5000:0x25b5050:0x25b4bf0
0x25b4fb0,funccall,xalloc_die,0,38,0,na,0x25b4920:0x25b1620:0x25b4880_1:0x25b8890:0x25b82a0:0x25b5050:0x25b5140:0x25b5960:0x25b86b0:0x25b7f80:0x25ba4b0:0x25ba7d0:0x25bbea0:0x25bc6c0:0x25bc800_1:0x25bc850:0x25bc8a0:0x25bfb90_1:0x25c1120_1:0x25ba690:0x25ba5a0:0x25bc120:0x25bb680:0x25bb3b0:0x25bb900:0x25baff0:0x25bac30:0x25ba820:0x25ba870:0x25b9740:0x25b8930:0x25b9420:0x25b9330:0x25b8d90:0x25b6130:0x25b5b90:0x25b5370:0x25b4bf0,na
0x25b5000,funccall,xrealloc,1,38,0,0x25b5050,0x25b4920:0x25b1620:0x25b4880_1:0x25b8890:0x25b82a0:0x25b5050:0x25b5140:0x25b5960:0x25b86b0:0x25b7f80:0x25ba4b0:0x25ba7d0:0x25bbea0:0x25bc6c0:0x25bc800_1:0x25bc850:0x25bc8a0:0x25bfb90_1:0x25c1120_1:0x25ba690:0x25ba5a0:0x25bc120:0x25bb680:0x25bb3b0:0x25bb900:0x25baff0:0x25bac30:0x25ba820:0x25ba870:0x25b9740:0x25b8930:0x25b9420:0x25b9330:0x25b8d90:0x25b6130:0x25b5b90:0x25b5370:0x25b4bf0,na
0x25b5050,funccall,compile_address,59,39,2,0x25c1350:0x25c13a0:0x25b4fb0:0x25b4bf0:0x25b50f0:0x25b5140:0x25b6310:0x25b6c20:0x25c1170:0x25c11c0:0x25b7d50:0x25b86b0:0x25b7f80:0x25b82a0:0x25ba5a0:0x25ba550:0x25bc710:0x25bc6c0:0x25bc670:0x25bc120:0x25bbef0:0x25bbea0:0x25bbe50:0x25bb900:0x25bb3b0:0x25bb360:0x25baff0:0x25bb680:0x25bb630:0x25bac30:0x25baa00:0x25bc850:0x25ba820:0x25bc8a0:0x25b9e70:0x25ba230:0x25ba460:0x25ba410:0x25ba4b0:0x25ba0a0:0x25b9bf0:0x25b9510:0x25b9740:0x25bc760:0x25bcc10:0x25bcad0:0x25b87f0:0x25bff50:0x25bfe10:0x25b8930:0x25b8ac0:0x25b8b60:0x25b9380:0x25b9420:0x25b9330:0x25b92e0:0x25b8d90:0x25b6b80:0x25b6130,0x25b5000:0x25b4920:0x25b1620:0x25b4880_1:0x25b8890:0x25b82a0:0x25b5050:0x25b5140:0x25b5960:0x25b86b0:0x25b7f80:0x25ba4b0:0x25ba7d0:0x25bbea0:0x25bc6c0:0x25bc800_1:0x25bc850:0x25bc8a0:0x25bfb90_1:0x25c1120_1:0x25ba690:0x25ba5a0:0x25bc120:0x25bb680:0x25bb3b0:0x25bb900:0x25baff0:0x25bac30:0x25ba820:0x25ba870:0x25b9740:0x25b8930:0x25b9420:0x25b9330:0x25b8d90:0x25b6130:0x25b5b90:0x25b5370:0x25b4bf0,0x25b5000:0x25b5050
0x25b50f0,funccall,dcgettext,1,1,0,0x25b50f0_1,0x25b5050,na
0x25b50f0_1,funccall,bad_prog,0,1,0,na,0x25b50f0,na
0x25b5140,funccall,xmemdup,61,1,2,0x25c1350:0x25c13a0:0x25b4fb0:0x25b4bf0:0x25b6310:0x25b6c20:0x25c1170:0x25c11c0:0x25b7d50:0x25b86b0:0x25b7f80:0x25b82a0:0x25ba5a0:0x25ba550:0x25bc710:0x25bc6c0:0x25bc670:0x25bc120:0x25bbef0:0x25bbea0:0x25bbe50:0x25bb900:0x25bb3b0:0x25bb360:0x25baff0:0x25bb680:0x25bb630:0x25bac30:0x25baa00:0x25bc850:0x25ba820:0x25bc8a0:0x25b9e70:0x25ba230:0x25ba460:0x25ba410:0x25ba4b0:0x25ba0a0:0x25b9bf0:0x25b9510:0x25b9740:0x25bc760:0x25bcc10:0x25bcad0:0x25b87f0:0x25bff50:0x25bfe10:0x25b8930:0x25b8ac0:0x25b8b60:0x25b9380:0x25b9420:0x25b9330:0x25b92e0:0x25b8d90:0x25b6b80:0x25b6130:0x25b58c0:0x25b5e60:0x25b5730:0x25b5370,0x25b5050,0x25b5000:0x25b5050
