0x26f21b0,epoint,2,0,0,0x26f26c0:0x26f2620,na,na
0x26f2620,funccall,is_mb_char,2,1,0,0x26f26c0:0x26f2670,0x26f21b0,na
0x26f2670,funccall,bad_prog,0,1,0,na,0x26f2620,na
0x26f26c0,funccall,init_buffer,10,2,0,0x26f4a10:0x26f28f0:0x26f2b20:0x26f4a60:0x26f2df0:0x26f4740:0x26f3070:0x26f3110:0x26f49c0:0x26f4970,0x26f21b0:0x26f2620,na
0x26f28f0,funccall,__uflow,9,2,0,0x26f4a10:0x26f2b20:0x26f4a60:0x26f2df0:0x26f4740:0x26f3070:0x26f3110:0x26f49c0:0x26f4970,0x26f26c0:0x26f4740,na
0x26f2b20,funccall,is_mb_char,6,3,0,0x26f4a10:0x26f4a60:0x26f2df0:0x26f4740:0x26f3070:0x26f3110,0x26f28f0:0x26f26c0:0x26f4740,na
0x26f2df0,funccall,__uflow,3,4,0,0x26f4a10:0x26f4740:0x26f3070,0x26f2b20:0x26f28f0:0x26f26c0:0x26f4740,na
0x26f3070,funccall,add1_buffer,0,5,1,na,0x26f2df0:0x26f2b20:0x26f28f0:0x26f26c0:0x26f4740,0x26f4740
0x26f3110,funccall,add1_buffer,8,4,1,0x26f4a10:0x26f49c0:0x26f4970:0x26f3c00:0x26f43d0:0x26f32f0:0x26f3840:0x26f34d0,0x26f2b20:0x26f28f0:0x26f26c0:0x26f4740,0x26f4740
0x26f32f0,funccall,__uflow,7,1,1,0x26f4a10:0x26f49c0:0x26f4970:0x26f3c00:0x26f43d0:0x26f3840:0x26f34d0,0x26f3110,0x26f4740
0x26f34d0,funccall,add1_buffer,7,2,1,0x26f4a10:0x26f49c0:0x26f4970:0x26f3c00:0x26f43d0:0x26f3840:0x26f36b0,0x26f32f0:0x26f3110,0x26f4740
0x26f36b0,funccall,__uflow,6,1,1,0x26f4a10:0x26f49c0:0x26f4970:0x26f3c00:0x26f43d0:0x26f3840,0x26f34d0,0x26f4740
0x26f3840,funccall,add1_buffer,6,4,1,0x26f4a10:0x26f49c0:0x26f4970:0x26f3c00:0x26f43d0:0x26f3a20,0x26f32f0:0x26f3110:0x26f36b0:0x26f34d0,0x26f4740
0x26f3a20,funccall,__uflow,5,1,1,0x26f4a10:0x26f49c0:0x26f4970:0x26f3c00:0x26f43d0,0x26f3840,0x26f4740
0x26f3c00,funccall,is_mb_char,4,8,1,0x26f4a10:0x26f49c0:0x26f4970:0x26f43d0,0x26f3110:0x26f43d0:0x26f45b0:0x26f32f0:0x26f3840:0x26f3a20:0x26f34d0:0x26f36b0,0x26f4740
0x26f43d0,funccall,add1_buffer,4,9,3,0x26f4a10:0x26f49c0:0x26f4970:0x26f45b0,0x26f3c00:0x26f3110:0x26f43d0:0x26f45b0:0x26f32f0:0x26f3840:0x26f3a20:0x26f34d0:0x26f36b0,0x26f4740:0x26f3c00:0x26f43d0
0x26f45b0,funccall,__uflow,3,1,3,0x26f4a10:0x26f49c0:0x26f4970,0x26f43d0,0x26f4740:0x26f3c00:0x26f43d0
0x26f4740,funccall,add1_buffer,6,15,4,0x26f4a10:0x26f4a60:0x26f3070:0x26f3110:0x26f49c0:0x26f4970,0x26f2b20:0x26f3070:0x26f2df0:0x26f28f0:0x26f26c0:0x26f4740:0x26f3c00:0x26f3110:0x26f43d0:0x26f45b0:0x26f32f0:0x26f3840:0x26f3a20:0x26f34d0:0x26f36b0,0x26f28f0:0x26f2b20:0x26f2df0:0x26f4740
0x26f4970,funccall,panic,0,12,0,na,0x26f3c00:0x26f3110:0x26f43d0:0x26f45b0:0x26f32f0:0x26f3840:0x26f3a20:0x26f34d0:0x26f36b0:0x26f28f0:0x26f26c0:0x26f4740,na
0x26f49c0,funccall,ungetc,1,12,0,0x26f4a10,0x26f3c00:0x26f3110:0x26f43d0:0x26f45b0:0x26f32f0:0x26f3840:0x26f3a20:0x26f34d0:0x26f36b0:0x26f28f0:0x26f26c0:0x26f4740,na
0x26f4a10,funccall,free_buffer,1,15,0,0x26f4a60,0x26f49c0:0x26f26c0:0x26f4740:0x26f28f0:0x26f2b20:0x26f2df0:0x26f3c00:0x26f3110:0x26f43d0:0x26f45b0:0x26f32f0:0x26f3840:0x26f3a20:0x26f34d0:0x26f36b0,na
0x26f4a60,ret,0,5,0,na,0x26f4a10:0x26f2b20:0x26f28f0:0x26f26c0:0x26f4740,na
