0x2c669f0,epoint,1,0,0,0x2c669f0_0,na,na
0x2c669f0_0,funccall,xzalloc,1,1,0,0x2c669f0_1,0x2c669f0,na
0x2c669f0_1,funccall,xzalloc,1,1,0,0x2c669f0_2,0x2c669f0_0,na
0x2c669f0_2,funccall,xzalloc,2,1,0,0x2c677d0:0x2c67870,0x2c669f0_1,na
0x2c677d0,funccall,dcgettext,1,1,0,0x2c677d0_1,0x2c669f0_2,na
0x2c677d0_1,funccall,panic,0,1,0,na,0x2c677d0,na
0x2c67870,funccall,read_pattern_space,55,1,0,0x2c6f020:0x2c67a00:0x2c679b0:0x2c67c80:0x2c6eee0:0x2c6efd0:0x2c6ef80:0x2c6edf0:0x2c6ebc0:0x2c6ec60:0x2c69990:0x2c6a480:0x2c6ed00:0x2c6eda0:0x2c6a8e0:0x2c6bab0:0x2c6bf10:0x2c6c1e0:0x2c694e0:0x2c6db30:0x2c698a0:0x2c696c0:0x2c697b0:0x2c69760:0x2c6a250:0x2c69b70:0x2c69c60:0x2c69cb0:0x2c6a6b0:0x2c6abb0:0x2c6aca0:0x2c6ac50:0x2c6ad90:0x2c6b5b0:0x2c6b510:0x2c6b560:0x2c6b740:0x2c6b6f0:0x2c6bec0:0x2c6c000:0x2c6bfb0:0x2c6c0f0:0x2c6c370:0x2c6c410:0x2c6da90:0x2c6dbd0:0x2c6e850:0x2c6e080:0x2c6e490:0x2c6e4e0:0x2c6ea80:0x2c684a0:0x2c67dc0:0x2c67f00:0x2c68270,0x2c669f0_2,na
0x2c679b0,funccall,fileno,0,2,1,na,0x2c6efd0:0x2c67870,0x2c67a00
0x2c67a00,funccall,fwrite,55,3,0,0x2c6f020:0x2c67c80:0x2c6eee0:0x2c6efd0:0x2c6ef80:0x2c6edf0:0x2c6ebc0:0x2c6ec60:0x2c69990:0x2c6a480:0x2c6ed00:0x2c6eda0:0x2c6a8e0:0x2c6bab0:0x2c6bf10:0x2c6c1e0:0x2c694e0:0x2c6db30:0x2c698a0:0x2c696c0:0x2c697b0:0x2c69760:0x2c6a250:0x2c69b70:0x2c69c60:0x2c69cb0:0x2c6a6b0:0x2c6abb0:0x2c6aca0:0x2c6ac50:0x2c6ad90:0x2c6b5b0:0x2c6b510:0x2c6b560:0x2c6b740:0x2c6b6f0:0x2c6bec0:0x2c6c000:0x2c6bfb0:0x2c6c0f0:0x2c6c370:0x2c6c410:0x2c6da90:0x2c6dbd0:0x2c6e850:0x2c6e080:0x2c6e490:0x2c6e4e0:0x2c6ea80:0x2c684a0:0x2c67dc0:0x2c67f00:0x2c68270:0x2c67b40:0x2c67aa0,0x2c679b0:0x2c6efd0:0x2c67870,na
0x2c67aa0,funccall,debug_print_char,54,2,1,0x2c6f020:0x2c67c80:0x2c6eee0:0x2c6efd0:0x2c6ef80:0x2c6edf0:0x2c6ebc0:0x2c6ec60:0x2c69990:0x2c6a480:0x2c6ed00:0x2c6eda0:0x2c6a8e0:0x2c6bab0:0x2c6bf10:0x2c6c1e0:0x2c694e0:0x2c6db30:0x2c698a0:0x2c696c0:0x2c697b0:0x2c69760:0x2c6a250:0x2c69b70:0x2c69c60:0x2c69cb0:0x2c6a6b0:0x2c6abb0:0x2c6aca0:0x2c6ac50:0x2c6ad90:0x2c6b5b0:0x2c6b510:0x2c6b560:0x2c6b740:0x2c6b6f0:0x2c6bec0:0x2c6c000:0x2c6bfb0:0x2c6c0f0:0x2c6c370:0x2c6c410:0x2c6da90:0x2c6dbd0:0x2c6e850:0x2c6e080:0x2c6e490:0x2c6e4e0:0x2c6ea80:0x2c684a0:0x2c67dc0:0x2c67f00:0x2c68270:0x2c67b40,0x2c67aa0:0x2c67a00,0x2c67aa0
0x2c67b40,funccall,__overflow,53,2,0,0x2c6f020:0x2c67c80:0x2c6eee0:0x2c6efd0:0x2c6ef80:0x2c6edf0:0x2c6ebc0:0x2c6ec60:0x2c69990:0x2c6a480:0x2c6ed00:0x2c6eda0:0x2c6a8e0:0x2c6bab0:0x2c6bf10:0x2c6c1e0:0x2c694e0:0x2c6db30:0x2c698a0:0x2c696c0:0x2c697b0:0x2c69760:0x2c6a250:0x2c69b70:0x2c69c60:0x2c69cb0:0x2c6a6b0:0x2c6abb0:0x2c6aca0:0x2c6ac50:0x2c6ad90:0x2c6b5b0:0x2c6b510:0x2c6b560:0x2c6b740:0x2c6b6f0:0x2c6bec0:0x2c6c000:0x2c6bfb0:0x2c6c0f0:0x2c6c370:0x2c6c410:0x2c6da90:0x2c6dbd0:0x2c6e850:0x2c6e080:0x2c6e490:0x2c6e4e0:0x2c6ea80:0x2c684a0:0x2c67dc0:0x2c67f00:0x2c68270,0x2c67a00:0x2c67aa0,na
0x2c67c80,funccall,fwrite,1,81,0,0x2c67c80_1,0x2c67b40:0x2c6efd0:0x2c67870:0x2c67a00:0x2c67aa0:0x2c69a80:0x2c694e0:0x2c6a250:0x2c6a3e0:0x2c6a480_1:0x2c6a610:0x2c6a6b0:0x2c6a840:0x2c6a8e0_1:0x2c6aa70:0x2c6aca0:0x2c6acf0:0x2c6ba10:0x2c6be20:0x2c6bec0:0x2c6bf10:0x2c6c0f0:0x2c6d810:0x2c6da90:0x2c6db30:0x2c6def0:0x2c6e990:0x2c6ead0:0x2c6ec60:0x2c6eda0:0x2c67dc0:0x2c67f00:0x2c68270:0x2c684a0:0x2c67c80_1:0x2c6ebc0:0x2c69990:0x2c699e0:0x2c6ed00:0x2c6a4d0:0x2c6a570:0x2c6a930:0x2c6a9d0:0x2c6bb00:0x2c6bce0:0x2c6bd80:0x2c6c230:0x2c6c280:0x2c6a1b0:0x2c69fd0:0x2c6a2a0:0x2c6a340:0x2c6a700:0x2c6a7a0:0x2c6b5b0_1:0x2c6b600:0x2c6b790:0x2c6b8d0:0x2c6b970:0x2c6c410:0x2c6d630:0x2c6d6d0:0x2c6d770:0x2c6d590:0x2c6d400:0x2c6d0e0:0x2c6c500:0x2c6c690:0x2c6cff0:0x2c6cf50:0x2c6c9b0:0x2c6ce60:0x2c6ccd0:0x2c6cb40:0x2c6ddb0:0x2c6de50:0x2c6e850:0x2c6e8f0:0x2c6e080:0x2c6e4e0:0x2c6ea80,na
0x2c67c80_1,funccall,debug_print_command,52,1,1,0x2c6f020:0x2c6eee0:0x2c6efd0:0x2c6ef80:0x2c6edf0:0x2c6ebc0:0x2c6ec60:0x2c69990:0x2c6a480:0x2c6ed00:0x2c6eda0:0x2c6a8e0:0x2c6bab0:0x2c6bf10:0x2c6c1e0:0x2c694e0:0x2c6db30:0x2c698a0:0x2c696c0:0x2c697b0:0x2c69760:0x2c6a250:0x2c69b70:0x2c69c60:0x2c69cb0:0x2c6a6b0:0x2c6abb0:0x2c6aca0:0x2c6ac50:0x2c6ad90:0x2c6b5b0:0x2c6b510:0x2c6b560:0x2c6b740:0x2c6b6f0:0x2c6bec0:0x2c6c000:0x2c6bfb0:0x2c6c0f0:0x2c6c370:0x2c6c410:0x2c6da90:0x2c6dbd0:0x2c6e850:0x2c6e080:0x2c6e490:0x2c6e4e0:0x2c6ea80:0x2c684a0:0x2c67dc0:0x2c67f00:0x2c68270,0x2c67c80,0x2c67c80
0x2c67dc0,funccall,match_an_address_p,17,81,36,0x2c6f020:0x2c6ef80:0x2c6edf0:0x2c698a0:0x2c696c0:0x2c697b0:0x2c69760:0x2c69cb0:0x2c6ac50:0x2c6b510:0x2c6b560:0x2c6b6f0:0x2c6c000:0x2c6bfb0:0x2c6e490:0x2c67f00:0x2c68270,0x2c67c80_1:0x2c67b40:0x2c6efd0:0x2c67870:0x2c67a00:0x2c67aa0:0x2c69a80:0x2c694e0:0x2c6a250:0x2c6a3e0:0x2c6a480_1:0x2c6a610:0x2c6a6b0:0x2c6a840:0x2c6a8e0_1:0x2c6aa70:0x2c6aca0:0x2c6acf0:0x2c6ba10:0x2c6be20:0x2c6bec0:0x2c6bf10:0x2c6c0f0:0x2c6d810:0x2c6da90:0x2c6db30:0x2c6def0:0x2c6e990:0x2c6ead0:0x2c6ec60:0x2c6eda0:0x2c67dc0:0x2c67f00:0x2c68270:0x2c684a0:0x2c6ebc0:0x2c69990:0x2c699e0:0x2c6ed00:0x2c6a4d0:0x2c6a570:0x2c6a930:0x2c6a9d0:0x2c6bb00:0x2c6bce0:0x2c6bd80:0x2c6c230:0x2c6c280:0x2c6a1b0:0x2c69fd0:0x2c6a2a0:0x2c6a340:0x2c6a700:0x2c6a7a0:0x2c6b5b0_1:0x2c6b600:0x2c6b790:0x2c6b8d0:0x2c6b970:0x2c6c410:0x2c6d630:0x2c6d6d0:0x2c6d770:0x2c6d590:0x2c6d400:0x2c6d0e0:0x2c6c500:0x2c6c690:0x2c6cff0:0x2c6cf50:0x2c6c9b0:0x2c6ce60:0x2c6ccd0:0x2c6cb40:0x2c6ddb0:0x2c6de50:0x2c6e850:0x2c6e8f0:0x2c6e080:0x2c6e4e0:0x2c6ea80,0x2c67c80:0x2c6eee0:0x2c6efd0:0x2c6ebc0:0x2c6ec60:0x2c69990:0x2c6a480:0x2c6ed00:0x2c6eda0:0x2c6a8e0:0x2c6bab0:0x2c6bf10:0x2c6c1e0:0x2c694e0:0x2c6db30:0x2c6a250:0x2c69b70:0x2c69c60:0x2c6a6b0:0x2c6abb0:0x2c6aca0:0x2c6ad90:0x2c6b5b0:0x2c6b740:0x2c6bec0:0x2c6c0f0:0x2c6c370:0x2c6c410:0x2c6da90:0x2c6dbd0:0x2c6e850:0x2c6e080:0x2c6e4e0:0x2c6ea80:0x2c684a0:0x2c67dc0
