0x160a830,epoint,1,0,0,0x160a830_0,na,na
0x160a830_0,funccall,set_program_name,1,1,0,0x160a830_1,0x160a830,na
0x160a830_1,funccall,setlocale,1,1,0,0x160a830_2,0x160a830_0,na
0x160a830_2,funccall,atexit,6,1,0,0x1639250:0x1639340:0x1639480:0x1639430:0x1637bd0:0x1637a90,0x160a830_1,na
0x1637a90,funccall,getopt_long,15,9,1,0x1639250:0x1639340:0x1639480:0x1639430:0x1637bd0:0x1639020:0x16390c0:0x1638fd0:0x1638530:0x16386c0:0x1638c10:0x1638df0:0x1638e90:0x1638f30:0x1638d50,0x160a830_2:0x1637a90:0x1638df0:0x1638e90:0x1638f30:0x1638530:0x1638580:0x1638c10:0x1638d50,0x1637a90
0x1637bd0,funccall,quote,1,9,0,0x1637bd0_1,0x1637a90:0x160a830_2:0x1638df0:0x1638e90:0x1638f30:0x1638530:0x1638580:0x1638c10:0x1638d50,na
0x1637bd0_1,funccall,usage,0,1,0,na,0x1637bd0,na
0x1638530,funccall,strict_posix2,7,1,1,0x1639250:0x1639340:0x1639480:0x1639430:0x1637bd0:0x16386c0:0x1638580,0x1637a90,0x1637a90
0x1638580,funccall,xstrtoumax,6,1,1,0x1639250:0x1639340:0x1639480:0x1639430:0x1637bd0:0x16386c0,0x1638530,0x1637a90
0x16386c0,funccall,quote,1,3,0,0x16386c0_1,0x1638530:0x1638580:0x1637a90,na
0x16386c0_1,funccall,usage,0,1,0,na,0x16386c0,na
0x1638c10,funccall,__xargmatch_internal,5,1,1,0x1639250:0x1639340:0x1639480:0x1639430:0x1637bd0,0x1637a90,0x1637a90
0x1638d50,funccall,__xargmatch_internal,5,1,1,0x1639250:0x1639340:0x1639480:0x1639430:0x1637bd0,0x1637a90,0x1637a90
0x1638df0,funccall,size_opt,5,1,1,0x1639250:0x1639340:0x1639480:0x1639430:0x1637bd0,0x1637a90,0x1637a90
0x1638e90,funccall,size_opt,5,1,1,0x1639250:0x1639340:0x1639480:0x1639430:0x1637bd0,0x1637a90,0x1637a90
0x1638f30,funccall,size_opt,5,1,1,0x1639250:0x1639340:0x1639480:0x1639430:0x1637bd0,0x1637a90,0x1637a90
0x1638fd0,funccall,usage,0,1,0,na,0x1637a90,na
0x1639020,funccall,version_etc,1,1,0,0x1639020_1,0x1637a90,na
0x1639020_1,funccall,exit,0,1,0,na,0x1639020,na
0x16390c0,funccall,usage,0,1,0,na,0x1637a90,na
0x1639250,funccall,usage,0,9,0,na,0x1637a90:0x160a830_2:0x1638df0:0x1638e90:0x1638f30:0x1638530:0x1638580:0x1638c10:0x1638d50,na
0x1639340,funccall,usage,0,9,0,na,0x1637a90:0x160a830_2:0x1638df0:0x1638e90:0x1638f30:0x1638530:0x1638580:0x1638c10:0x1638d50,na
0x1639430,funccall,usage,0,9,0,na,0x1637a90:0x160a830_2:0x1638df0:0x1638e90:0x1638f30:0x1638530:0x1638580:0x1638c10:0x1638d50,na
0x1639480,funccall,check_file,1,9,0,0x1639480_1,0x1637a90:0x160a830_2:0x1638df0:0x1638e90:0x1638f30:0x1638530:0x1638580:0x1638c10:0x1638d50,na
0x1639480_1,ret,0,1,0,na,0x1639480,na
